description,SRR11735465,SRR11735466,SRR11735467,SRR11735468,SRR11735469,SRR11735471,SRR11735472,SRR11735473,SRR11735474,SRR11735475,SRR11735476,SRR11735477,SRR11735478,SRR11735479,SRR11735480,SRR11735481,SRR11735482,SRR11735483,SRR11735484,SRR11735485,SRR11735486,SRR11735487,SRR11735488,SRR11735489,SRR11735490,SRR11735491,SRR11735492,SRR11735493,SRR11735494,SRR11735495,SRR11735496,SRR11735497,SRR11735498,SRR11735499,SRR11735500,SRR11735501,SRR11735502,SRR11735504,SRR11735505,SRR11735506,SRR5136859,SRR5136860,SRR5136861,SRR5136862,SRR5136863,SRR5136864,SRR5136865,SRR5136866,SRR5136867,SRR5136868,SRR5136869,SRR5136870,SRR5136871,SRR5136872,SRR5136873,SRR5136874,SRR5136875,SRR5136876,SRR17519993,SRR17519994,SRR17519995,SRR17519996,SRR17519997,SRR17519998,SRR17519999,SRR17520001,SRR17520002,SRR17520003,SRR17520004,SRR17520005,SRR17520006,SRR17520007,SRR17520008,SRR17520009,SRR17520010,SRR17520011,SRR17520012,SRR17520013,SRR17520014,SRR17520015,SRR17520016,SRR17520017,SRR17520018,SRR17520019,SRR17520020,SRR17520021,SRR17520022,SRR17520023,SRR17520024,SRR17520025,SRR17520026,SRR17520027,SRR17520029,SRR17520030,SRR17520031,SRR17520032,SRR17520033,SRR17520034,SRR17520035,SRR17520036,SRR17520037,SRR17520038,SRR17520039,SRR17520040,SRR17520041,SRR17520042,SRR17520043,SRR17520044,SRR17520045,SRR17520046,SRR17520047,SRR17520048,SRR17520049,SRR17520050,SRR17520051,SRR17520052,SRR17520053,SRR17520054,SRR17520055,SRR17520056,SRR17520057,SRR17520058,SRR17520059,SRR17520060,SRR17520061,SRR17520062,SRR17520063,SRR17520064,SRR17520065,SRR17520066,SRR17520067,SRR17520068,SRR10120013.fastq,SRR10120014.fastq,SRR10120015.fastq,SRR10120016.fastq,SRR10120017.fastq,SRR10120018.fastq,SRR10120019.fastq,SRR10120020.fastq,SRR10120021.fastq,SRR10120022.fastq,SRR10120023.fastq,SRR10120024.fastq,SRR10120025.fastq,SRR10120026.fastq,SRR10120027.fastq,SRR10120028.fastq,SRR10120029.fastq,SRR10120030.fastq,SRR10120031.fastq,SRR10120032.fastq,SRR10120033.fastq,SRR10120034.fastq,SRR10120035.fastq,SRR10120036.fastq,SRR10120037.fastq,SRR10120038.fastq,SRR10120039.fastq,SRR10120040.fastq,SRR10120041.fastq,SRR10120042.fastq,SRR10120043.fastq,SRR10120044.fastq,SRR10120045.fastq,SRR10120046.fastq,SRR10120047.fastq,SRR10120048.fastq,SRR10120049.fastq,SRR10120050.fastq,SRR10120051.fastq,SRR10120052.fastq,SRR10120053.fastq,SRR10120054.fastq,SRR10120055.fastq,SRR10120056.fastq,SRR10120057.fastq,SRR10120058.fastq,SRR10120059.fastq,SRR10120060.fastq,SRR10120061.fastq,SRR10120062.fastq,SRR10120063.fastq,SRR10120064.fastq,SRR10120065.fastq,SRR10120066.fastq,SRR10120067.fastq,SRR10120068.fastq,SRR10120069.fastq,SRR10120070.fastq,SRR10120071.fastq,SRR10120072.fastq,SRR10120073.fastq,SRR10120074.fastq,SRR10120075.fastq,SRR10120076.fastq,SRR10120077.fastq,SRR10120078.fastq,SRR10120079.fastq,SRR10120080.fastq,SRR10120081.fastq,SRR10120082.fastq,SRR10120083.fastq,SRR10120084.fastq,SRR10120085.fastq,SRR10120087.fastq,SRR10120088.fastq,SRR10120089.fastq,SRR10120090.fastq,SRR10120091.fastq,SRR10120092.fastq,SRR10120093.fastq,SRR10120094.fastq,SRR10120095.fastq,SRR10120096.fastq,SRR10120097.fastq,SRR10120098.fastq,SRR10120099.fastq,SRR10120100.fastq,SRR10120101.fastq,SRR10120102.fastq,SRR10120103.fastq,SRR10120104.fastq,SRR10120105.fastq,SRR10120106.fastq,SRR10120107.fastq,SRR10120108.fastq,SRR10120109.fastq,SRR10120110.fastq,SRR10120111.fastq,SRR10120112.fastq,SRR10120113.fastq,SRR10120114.fastq,SRR10120115.fastq,SRR10120116.fastq,SRR10120117.fastq,SRR10120118.fastq,SRR10120119.fastq,SRR10120120.fastq,SRR10120121.fastq,SRR10120122.fastq,SRR10120123.fastq,SRR10120124.fastq,SRR14320148,SRR14320149,SRR14320150,SRR14320151,SRR14320152,SRR14320153,SRR14320154,SRR14320155,SRR14320156,SRR14320157,SRR14320158,SRR14320159,SRR14320160,SRR14320161,SRR14320162,SRR14320163,SRR14320164,SRR14320165,SRR14320166,SRR14320167,SRR14320168,SRR14320169,SRR14320170,SRR14320171,SRR14320172,SRR14320173,SRR14320174,SRR14320175,SRR14320176,SRR14320177,SRR14320178,SRR14320179,SRR14320180,SRR14320181,SRR14320182,SRR14320183,SRR14320184,SRR14320185,SRR14320186,SRR14320187,SRR14320188,SRR14320189,SRR14320190,SRR14320191,SRR14320192,SRR14320193,SRR14320194,SRR14320195,SRR14320196,SRR14320197,SRR14320198,SRR14320199,SRR14320200,SRR14320201,SRR14320202,SRR14320203,SRR14320204,SRR14320205,SRR14320206,SRR14320207,SRR14320208,SRR14320209,SRR14320210,SRR14320211,SRR14320212,SRR14320213,SRR14320214,SRR14320215,SRR14320216,SRR14320217,SRR14320218,SRR14320219,SRR14320220,SRR14320221,SRR14320222,SRR14320223,SRR14320224,SRR14320225,SRR14320226,SRR14320227,SRR14320228,SRR14320229,SRR14320230,SRR14320231,SRR14320232,SRR14320233,SRR14320234,SRR14320235,SRR14320236,SRR14320237,SRR14320238,SRR14320239,SRR14320240,SRR14320241,SRR14320242,SRR14320243,SRR14320244,SRR14320245,SRR14320246,SRR14320247,SRR14320248,SRR14320249,SRR14320250,SRR14320251,SRR14320252,SRR14320253,SRR14320254,SRR14320255
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,34,32,41,40,14,41,21,40,19,27,23,0,46,25,15,41,38,36,26,49,17,30,27,17,21,34,29,32,25,31,39,24,46,17,25,47,20,36,42,24,16,24,10,16,26,20,19,21,18,7,14,17,20,19,13,15,36,18,32,20,19,18,25,32,24,29,25,13,18,23,25,21,24,16,25,15,23,31,22,34,22,15,14,22,15,23,26,24,23,26,30,22,23,12,24,27,29,19,22,15,23,24,27,26,19,22,25,24,21,23,17,22,25,14,17,18,19,27,16,13,26,16,22,18,22,28,17,26,13,14,23,23,12,11,10,19,25,34,23,15,5,18,23,9,23,19,24,21,15,21,17,9,19,21,23,19,16,17,22,30,19,18,23,11,25,17,16,13,9,17,28,14,17,20,19,23,22,28,24,24,29,15,11,21,25,26,9,25,17,13,20,24,18,21,21,20,17,23,11,22,10,24,16,24,4,9,12,24,16,12,18,17,18,28,25,17,16,11,21,20,23,13,20,18,29,23,17,12,26,26,40,19,15,17,15,25,9,27,17,4,14,17,9,21,24,25,22,17,19,25,24,18,18,18,15,16,15,19,25,12,24,32,32,21,33,22,17,20,11,24,21,18,18,18,16,14,12,23,29,22,25,17,28,12,24,19,18,20,15,17,20,25,24,21,16,18,29,13,14,18,18,22,22,24,14,26,25,34,22,9,18,24,19,14,19,19,25,25,25,35,23,1,15,27,19,10,24,22,19,21,18,19,25,24,17,27,14,25,21,21,23,20,23,25,22,10,16,17,16,21,33
8-amino-7-oxononanoate biosynthesis I,33,34,14,0,30,33,11,42,34,35,38,1,0,33,29,0,43,28,25,44,25,18,24,39,22,37,37,47,38,50,0,44,23,28,0,19,9,46,0,48,8,19,6,14,10,24,2,8,20,5,20,18,4,9,18,0,39,9,10,0,9,5,15,6,18,8,16,17,14,13,13,6,2,7,2,17,15,5,8,4,11,3,2,4,9,20,10,2,6,17,6,7,13,11,18,9,7,2,12,10,15,21,12,0,14,23,16,11,13,8,15,17,11,6,6,11,6,5,18,15,6,2,6,10,12,26,4,7,19,19,15,1,5,9,0,0,0,1,8,6,6,6,3,2,11,14,2,9,1,25,2,5,1,2,2,9,7,0,13,8,6,0,20,0,0,3,1,0,0,3,0,0,0,5,11,2,0,21,1,0,1,7,0,1,0,2,1,4,5,0,0,0,2,3,4,5,8,8,8,21,1,3,6,0,7,8,14,17,4,4,2,18,0,12,12,8,4,0,0,8,4,9,0,4,0,7,5,1,1,0,1,5,0,0,2,0,0,6,2,0,0,2,1,4,22,1,11,1,12,16,10,7,16,15,4,20,13,9,13,17,16,8,2,0,7,3,0,7,9,4,3,1,12,5,2,12,11,12,2,13,11,7,6,9,13,2,28,9,3,18,2,5,5,3,7,5,7,10,11,16,19,16,12,15,8,9,19,14,26,13,3,14,17,6,0,9,12,0,0,0,7,4,7,1,11,25,2,1,3,0,15,0,2,6,1,5,16,17,8,7,8,3,6,10,1,8,3,10,20,5,16
acetyl-CoA fermentation to butanoate II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,12,1,3,0,0,6,23,9,4,1,12,3,11,3,20,4,2,16,4,0,5,10,7,4,6,10,7,5,12,7,4,8,0,15,5,5,8,4,1,3,17,8,6,0,8,5,3,3,4,3,3,12,0,8,14,8,4,0,13,3,1,6,11,2,7,7,12,3,6,3,11,6,14,14,12,7,11,4,1,5,3,6,3,7,2,6,0,12,2,5,4,8,3,2,14,8,2,1,5,2,5,9,8,6,4,1,10,7,4,4,3,4,5,5,2,9,4,4,10,3,0,8,7,5,0,0,8,2,1,0,4,4,9,2,1,3,4,6,2,8,3,8,3,8,6,7,2,4,3,4,5,17,2,8,3,14,8,12,3,5,4,6,15,3,4,10,4,15,3,2,5,3,6,4,0,1,3,3,10,3,8,3,12,7,9,5,0,0,9,8,2,15,4,0,5,10,1,4,2,15,3,2,5,7,6,3,3,11,5,0,3,7,0,5,5,7,1,4,9,0,4,11,1,4,1,2,4,0,6,1,1,8,6,1,0,2,4,1,1,7,6,14,0,0,0,6,0,1,10,5,1,0,9,6,1,6,6,8,9,2,9,11,13,1,7,6,0,11,2,4,7,8,6,1,0,6,0,5,0,7,8,8,0,0,6,1,4,6,0,9,0,5,0,4,4,5,3,0,2,10,0,1,3,5,0,5,17,1
acetylene degradation,5,0,4,0,16,9,17,0,25,17,5,70,0,9,19,44,0,5,14,0,32,10,5,14,20,3,11,0,16,1,0,16,0,5,26,0,10,7,0,3,22,19,41,14,27,24,18,18,16,22,18,22,26,34,28,20,3,17,35,27,27,31,21,26,29,23,22,40,19,19,22,23,43,28,21,28,14,17,25,18,30,52,35,31,39,22,12,34,20,35,23,30,29,47,29,27,21,24,17,27,12,24,26,5,23,24,29,31,22,18,17,14,8,29,37,17,29,26,23,20,33,42,13,17,19,25,32,28,14,19,36,30,34,40,23,32,51,40,46,46,15,42,29,34,25,27,39,25,36,26,35,25,35,29,49,48,23,18,24,50,49,38,26,48,37,37,35,41,17,39,43,36,29,33,33,28,36,21,42,33,29,17,49,47,37,42,35,23,26,40,26,36,39,31,44,32,38,35,12,8,38,49,33,33,9,29,28,19,38,15,48,18,26,49,21,23,28,26,42,32,37,21,37,53,27,26,43,36,46,38,46,28,36,35,38,56,94,27,35,48,50,31,36,19,10,36,27,37,29,17,26,37,21,21,19,18,29,25,18,24,34,38,37,34,36,32,36,23,35,35,22,21,20,18,41,37,25,20,35,21,18,10,17,26,23,36,20,26,38,20,30,25,21,47,28,18,36,28,20,23,15,23,25,21,29,18,23,18,22,32,32,18,29,27,37,20,31,26,20,45,27,57,46,30,24,33,42,38,31,34,31,36,37,31,35,35,26,16,30,20,29,23,44,21,25,34,19,28,23,36,30
adenine and adenosine salvage III,32,24,41,52,26,29,28,32,19,32,32,60,42,24,38,30,29,35,41,30,38,28,19,17,14,33,35,34,33,22,38,46,35,22,49,28,43,30,39,19,34,30,40,29,24,21,29,26,35,29,19,30,31,30,20,37,30,42,27,33,26,35,19,40,40,28,22,38,34,23,34,29,27,32,40,22,29,24,34,33,38,41,31,43,26,26,25,20,37,25,24,18,37,28,17,32,34,28,32,35,25,17,34,34,33,21,29,28,26,29,36,26,29,25,37,30,39,30,29,26,37,39,28,16,24,22,48,38,30,25,35,29,41,25,39,29,10,38,27,25,34,41,21,22,31,25,36,30,29,26,40,34,31,38,44,44,36,35,35,28,36,31,32,43,57,28,31,26,57,29,25,29,34,45,28,54,36,26,22,32,24,34,17,28,35,34,43,45,24,17,38,26,31,34,30,19,32,26,42,25,42,40,32,33,27,37,38,27,31,48,26,16,31,28,27,36,33,39,33,28,22,42,53,46,34,36,30,33,26,22,45,37,29,28,29,32,8,25,30,43,42,24,42,33,21,42,27,27,34,25,31,40,29,40,30,17,25,28,23,18,28,28,30,34,38,33,35,28,32,36,19,40,32,26,31,26,18,25,30,26,32,29,42,35,24,26,21,30,34,20,30,33,28,22,34,37,29,31,30,28,27,22,29,26,28,23,31,21,17,26,33,31,16,18,33,42,36,31,35,31,25,5,40,36,26,14,28,41,40,36,9,33,35,21,30,25,33,28,24,26,38,41,33,36,30,41,32,23,26,25,30
adenosine deoxyribonucleotides de novo biosynthesis II,42,43,31,38,31,41,26,44,32,38,45,104,50,47,61,37,69,35,45,45,56,29,31,28,42,30,32,41,35,36,31,54,31,48,56,44,39,43,46,62,24,38,39,48,21,51,21,25,48,56,38,24,22,39,28,23,31,42,25,37,41,43,26,27,31,39,28,31,38,32,35,27,18,26,16,26,33,29,26,19,20,35,31,37,32,29,25,48,18,13,24,31,27,50,26,26,29,26,23,41,21,31,27,37,28,36,24,48,36,19,23,31,22,34,33,33,31,25,25,35,38,59,23,33,28,34,39,48,34,32,37,29,15,23,12,41,51,50,32,25,14,13,34,41,27,36,23,32,28,44,42,18,35,36,32,31,21,19,27,34,30,22,38,47,54,51,31,32,7,35,38,42,7,27,27,35,30,38,33,19,26,19,54,46,29,37,36,27,33,24,24,52,49,34,31,39,43,21,26,30,39,29,63,26,19,30,19,26,35,49,31,43,24,35,23,27,28,26,19,24,31,30,43,33,30,31,55,28,43,34,61,41,41,49,44,38,142,21,30,44,47,20,35,21,34,35,22,19,25,34,25,28,36,39,24,26,17,40,35,29,40,30,39,21,21,21,23,29,26,37,30,28,35,27,29,37,29,27,30,29,25,42,17,42,41,31,22,17,24,33,41,18,37,27,25,29,14,30,20,23,16,34,33,31,34,48,40,34,33,24,40,32,42,35,29,23,29,37,23,13,27,65,31,21,18,38,18,22,45,45,27,26,37,30,21,17,29,31,31,30,16,16,37,32,18,35,38,31,32,22,29
adenosine nucleotides degradation IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adenosine ribonucleotides de novo biosynthesis,36,32,36,38,28,34,19,34,19,46,22,62,51,34,41,52,27,40,35,31,29,31,28,33,23,28,26,45,27,31,47,28,41,33,54,39,51,31,29,33,35,22,45,26,27,37,37,35,18,39,26,43,37,28,26,27,26,39,31,40,46,32,33,36,47,37,38,42,39,32,35,29,38,45,34,30,23,30,33,30,42,48,34,29,43,23,40,34,33,34,26,44,39,44,26,29,36,33,37,41,37,30,37,47,36,29,34,32,28,43,29,30,31,33,46,32,40,42,28,31,30,38,34,20,33,22,32,38,23,22,36,32,49,42,44,39,42,40,24,44,43,35,50,33,41,28,45,23,41,38,28,38,44,50,45,41,33,37,28,32,50,50,29,39,39,46,41,45,41,40,33,54,55,49,37,41,45,28,41,39,39,29,38,33,37,43,49,40,39,35,32,32,36,31,28,30,31,27,35,31,32,44,36,52,41,37,39,27,38,37,41,21,25,37,35,33,26,35,42,41,36,33,38,56,30,51,39,31,44,31,20,29,36,49,35,33,75,38,39,44,48,44,50,37,23,33,27,37,27,34,20,36,32,28,26,22,34,38,34,31,27,37,31,29,37,33,46,33,39,30,36,41,44,46,41,35,27,32,41,38,33,25,33,30,41,35,27,33,36,25,31,36,27,52,37,30,45,27,31,21,32,39,42,30,29,34,38,34,28,29,39,33,25,27,36,38,37,32,35,39,23,50,37,45,39,33,39,37,37,34,25,45,42,36,44,30,33,31,29,35,36,40,37,28,38,39,24,36,33,36,31
"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",33,24,15,45,21,19,18,36,22,22,26,55,0,33,50,26,35,15,22,30,23,21,34,26,10,35,18,12,31,25,41,38,31,9,46,26,30,28,21,42,40,19,26,22,12,25,15,34,21,29,24,29,38,25,20,30,23,22,24,29,26,23,15,22,28,35,27,35,23,21,23,20,34,22,15,25,34,28,34,28,29,30,15,28,31,26,19,31,24,23,24,24,22,21,19,25,40,21,28,28,27,11,21,19,22,16,25,17,14,20,20,12,9,26,36,36,32,22,27,25,26,46,18,29,20,15,28,25,25,13,22,28,33,15,26,25,6,31,18,33,35,30,13,18,27,17,32,24,16,36,33,26,24,22,46,36,16,31,25,24,24,19,31,39,28,25,36,19,40,23,11,14,33,30,26,39,23,13,23,18,35,24,6,26,28,24,38,27,28,16,35,28,40,38,5,13,28,30,41,20,28,29,25,43,24,31,23,26,30,31,42,15,13,25,23,35,24,33,24,18,26,34,26,41,33,33,25,15,13,18,21,20,30,20,17,31,3,25,24,3,33,24,41,28,22,24,30,19,22,19,18,19,19,32,27,20,21,32,25,28,19,25,8,20,19,21,36,32,48,12,18,17,19,20,24,30,17,25,18,26,24,18,18,22,20,15,21,18,29,22,23,22,15,32,17,20,24,31,19,21,21,18,16,24,24,20,29,31,20,23,19,19,28,19,40,24,36,26,20,24,20,5,38,22,30,21,26,39,24,27,17,33,35,19,20,28,32,19,23,38,30,29,30,12,36,37,18,21,18,27,25
adenosylcobalamin biosynthesis I (early cobalt insertion),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adenosylcobalamin biosynthesis II (late cobalt incorporation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adenosylcobalamin salvage from cobinamide I,32,33,40,26,35,21,35,32,22,34,23,72,37,16,38,43,27,24,36,33,23,18,17,17,31,37,25,17,30,34,44,42,18,12,49,21,41,40,25,22,40,21,40,25,17,36,8,28,25,19,23,35,44,25,28,32,21,30,22,35,35,29,18,22,29,30,35,29,18,17,25,22,34,23,24,17,26,29,36,14,36,25,17,32,23,32,19,40,33,20,23,26,25,24,22,36,27,26,24,25,30,15,34,17,17,18,27,18,27,28,13,12,21,25,29,27,33,17,21,21,31,35,21,21,24,19,32,31,24,17,32,23,37,15,29,20,3,30,18,25,35,36,16,29,36,21,28,23,28,26,24,34,25,26,36,42,35,28,26,32,28,40,35,44,30,33,30,13,34,24,13,21,38,26,34,28,28,14,23,27,32,36,13,28,27,36,37,14,24,22,25,18,39,25,14,13,30,35,29,16,33,29,12,36,25,24,26,19,18,35,43,13,12,34,25,40,32,29,41,32,21,27,25,35,29,38,32,18,22,22,36,26,27,33,23,32,2,31,21,0,38,26,39,16,20,29,18,29,19,27,28,30,24,36,33,16,27,25,18,20,24,19,12,27,23,32,38,17,31,14,17,20,24,13,27,17,15,23,30,23,29,24,24,17,12,25,28,35,31,21,22,25,13,30,19,20,36,28,20,24,19,21,21,24,24,34,22,21,25,32,27,16,21,31,29,17,21,20,27,27,33,1,30,26,34,17,24,42,36,33,18,22,35,25,20,31,27,14,16,29,26,31,18,14,33,45,13,20,32,24,39
adenosylcobalamin salvage from cobinamide II,39,41,26,37,19,22,24,29,15,28,17,57,0,22,38,19,36,14,21,23,46,16,29,23,10,24,24,17,25,30,42,33,40,9,35,19,27,21,23,21,33,26,30,12,12,21,16,20,23,25,25,33,35,28,21,39,23,34,38,27,24,24,20,29,37,41,25,29,29,16,21,23,33,22,26,31,29,15,34,25,22,31,17,28,30,14,16,34,35,29,24,24,32,21,17,28,23,18,26,20,24,16,25,15,17,24,20,27,19,25,23,17,20,23,39,27,39,21,28,21,21,44,22,26,20,9,34,46,31,9,22,25,32,23,34,31,4,24,13,30,29,24,13,18,38,22,26,16,18,21,20,30,23,22,30,26,33,25,15,30,29,25,28,26,32,41,32,22,43,27,11,18,34,38,35,32,22,5,26,19,27,24,12,30,34,40,36,22,34,12,35,20,38,31,15,10,21,14,31,24,25,25,19,33,27,35,29,23,23,39,28,25,20,21,14,33,28,33,40,34,19,38,28,35,29,35,29,25,24,14,33,24,26,27,23,25,3,25,23,0,49,16,40,22,14,25,19,30,28,17,26,27,22,29,23,16,24,20,27,12,28,29,16,23,24,24,26,30,26,15,12,18,28,24,32,22,28,15,23,27,29,25,22,28,20,27,23,15,33,20,23,33,14,36,22,32,25,36,24,19,33,22,21,26,30,16,27,21,21,30,10,18,16,17,21,24,36,20,29,22,9,2,25,25,24,14,28,43,43,35,18,24,23,16,26,23,27,25,27,30,31,20,29,12,23,33,19,25,22,24,21
aerobic respiration I (cytochrome c),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,5,0,1,1,4,7,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arginine, ornithine and proline interconversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,2,3,0,0,3,1,2,0,2,1,0,0,0,1,3,4,0,0,1,0,1,0,2,0,0,0,1,1,0,4,0,0,3,1,0,2,3,0,1,1,0,2,4,0,0,0,4,0,0,4,0,0,2,2,1,1,3,2,8,0,6,0,2,0,4,2,6,1,0,1,0,2,0,1,1,2,0,0,1,1,0,2,0,0,4,4,1,3,1,0,1,0,0,0,3,3,1,0,2,0,1,0,1,0,0,0,0,2,1,1,1,1,1,0,1,0,2,0,2,0,6,0,1,2,3,0,3,8,4,1,1,3,0,6,3,0,0,2,1,3,2,0,0,0,2,0,5,6,0,2,4,1,0,2,0,0,4,1,0,2,1,3,1,1,1,2,0,1,0,0,0,0,3,0,1,0,1,1,5,1,0,1,7,1,0,8,0,3,1,4,33,2,0,4,2,2,1,2,0,0,1,2,1,3,1,0,2,3,0,3,1,4,0,0,0,4,0,0,1,1,0,0,3,2,1,2,2,0,0,6,1,0,0,0,0,1,0,0,0,0,0,5,8,0,0,0,4,0,0,4,1,1,0,3,1,0,3,0,3,0,2,0,0,1,5,0,0,5,0,1,0,0,2,1,0,1,0,0,0,4,0,0,0,1,1,0,7,0,0,0,2,0,1,3,0,0,0,3,2,0,2,2
